lemma,normalized_lemma,part_of_speech,sense_position,definition,tags,polish_translations,cefr,wordnet_synsets,frequency_rank
word,word,noun,3,"Something that someone said; a comment, utterance; speech.",countable|uncountable,,cefr_j:A1,,217
word,word,noun,4,"A watchword or rallying cry, a verbal signal (even when consisting of multiple words).",countable|uncountable,,cefr_j:A1,,217
word,word,noun,5,A proverb or motto.,countable|obsolete|uncountable,,cefr_j:A1,,217
word,word,noun,6,News; tidings.,uncountable,,cefr_j:A1,,217
word,word,noun,7,An order; a request or instruction; an expression of will.,countable|uncountable,,cefr_j:A1,,217
word,word,noun,8,A promise; an oath or guarantee.,countable|uncountable,słowo,cefr_j:A1,07241961-n,217
word,word,noun,9,A brief discussion or conversation.,countable|uncountable,,cefr_j:A1,06750911-n,217
word,word,noun,10,A minor reprimand.,countable|uncountable,,cefr_j:A1,,217
word,word,noun,11,See words.,countable|in-plural|uncountable,,cefr_j:A1,,217
word,word,noun,12,"Communication from God; the message of the Christian gospel; the Bible, Scripture.",countable|uncountable,Słowo Boże,cefr_j:A1,,217
word,word,noun,13,"Logos, Christ.",countable|uncountable,,cefr_j:A1,,217
word,word,verb,0,To say or write (something) using particular words; to phrase (something).,transitive,,,,217
word,word,verb,1,"To flatter with words, to cajole.",obsolete|transitive,,,00982485-v,217
word,word,verb,2,To ply or overpower with words.,transitive,,,00982485-v,217
word,word,verb,3,To conjure with a word.,rare|transitive,,,,217
word,word,verb,4,"To speak, to use words; to converse, to discourse.",archaic|intransitive,,,,217
word,word,verb,5,Alternative form of worth (“to become”).,alt-of|alternative,,,,217
word,word,interjection,0,"Truth, indeed, that is the truth! The shortened form of the statement “My word is my bond.”",slang,,,,217
word,word,interjection,1,An abbreviated form of word up; a statement of the acknowledgment of fact with a hint of nonchalant approval.,emphatic|slang,,,,217
livre,livre,noun,0,"A unit of currency formerly used in France, divided into 20 sols or sous.",historical,,,,
livre,livre,noun,1,A lira,obsolete,,,,
livre,livre,noun,2,"An ancient French unit of weight, equal to about 1 avoirdupois pound.",historical,,,,
book,book,noun,0,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.",,książka|księga,cefr_j:A1,02873887-n,171
book,book,noun,1,"A long work fit for publication, typically prose, such as a novel or textbook, and typically published as such a bound collection of sheets, but now sometimes electronically as an e-book.",,,cefr_j:A1,,171
book,book,noun,2,A major division of a long work.,,,cefr_j:A1,06406508-n,171
book,book,noun,3,A record of betting (from the use of a notebook to record what each person has bet).,,,cefr_j:A1,,171
book,book,noun,4,A bookmaker (a person who takes bets on sporting events and similar); bookie; turf accountant.,informal,,cefr_j:A1,,171
book,book,noun,5,"A convenient collection, in a form resembling a book, of small paper items for individual use.",,,cefr_j:A1,,171
book,book,noun,6,The script of a musical or opera.,,,cefr_j:A1,,171
book,book,noun,7,Records of the accounts of a business.,plural-normally,księgi,cefr_j:A1,13425421-n,171
book,book,noun,8,"A book award, a recognition for receiving the highest grade in a class (traditionally an actual book, but recently more likely a letter or certificate acknowledging the achievement).",colloquial,,cefr_j:A1,,171
book,book,noun,9,Six tricks taken by one side.,,,cefr_j:A1,,171
book,book,noun,10,Four of a kind.,slang,,cefr_j:A1,,171
book,book,noun,11,"A document, held by the referee, of the incidents that happened in a game.",,,cefr_j:A1,,171
book,book,noun,12,A list of all players who have been booked (received a warning) in a game.,broadly,,cefr_j:A1,,171
book,book,noun,13,The list of mares that a stallion will breed in a given season.,,,cefr_j:A1,,171
book,book,noun,14,A list of the races that a jockey is scheduled to ride in.,,,cefr_j:A1,,171
book,book,noun,15,The twenty-sixth Lenormand card.,,,cefr_j:A1,,171
book,book,noun,16,Any source of instruction.,figuratively,,cefr_j:A1,,171
book,book,noun,17,The accumulated body of knowledge passed down among black pimps.,with-definite-article,,cefr_j:A1,,171
book,book,noun,18,A portfolio of one's previous work in the industry.,informal,,cefr_j:A1,,171
book,book,noun,19,The sum of chess knowledge in the opening or endgame.,uncountable,,cefr_j:A1,,171
book,book,noun,20,A package of silk.,historical,,cefr_j:A1,,171
book,book,verb,0,To reserve (something) for future use.,transitive,rezerwować|zarezerwować|bukować|zabukować,cefr_j:B1,02503969-v,171
book,book,verb,1,"To write down, to register or record in a book or as in a book.",transitive,księgować|zaksięgować|spisywać|spisać,cefr_j:B1,02503785-v,171
book,book,verb,2,To add a name to the list of people who are participating in something.,transitive,,cefr_j:B1,,171
book,book,verb,3,To record the name and other details of a suspected offender and the offence for later judicial action.,transitive,,cefr_j:B1,,171
book,book,verb,4,"To issue a caution to, usually a yellow card, or a red card if a yellow card has already been issued.",,,cefr_j:B1,,171
book,book,verb,5,To travel very fast.,intransitive|slang,,cefr_j:B1,,171
book,book,verb,6,To record bets as bookmaker.,,,cefr_j:B1,02503785-v,171
book,book,verb,7,To receive the highest grade in a class.,transitive,,cefr_j:B1,,171
book,book,verb,8,"To move or leave, often hurriedly and abruptly.",intransitive|slang,,cefr_j:B1,,171
book,book,verb,9,simple past of bake,Northern-England|UK|dialectal|form-of|past,,cefr_j:B1,,171
pound,pound,noun,0,A unit of weight in various measurement systems.,,,cefr_j:B1,13742407-n,984
pound,pound,noun,1,A unit of weight in various measurement systems.,abbreviation|alt-of|ellipsis,,cefr_j:B1,13742407-n,984
pound,pound,noun,2,A unit of mass in various measurement systems.,abbreviation|alt-of|ellipsis,funt,cefr_j:B1,,984
