lemma,pos,level,source
booklet,noun,B2,cefr_j
bookmark,noun,B2,cefr_j
bookmark,verb,B2,cefr_j
bookshelf,noun,A2,cefr_j
bookshop,noun,A2,cefr_j
bookstore,noun,A1,cefr_j
boost,noun,B2,cefr_j
boost,verb,B2,cefr_j
booth,noun,B2,cefr_j
border,noun,B1,cefr_j
bored,adjective,A2,cefr_j
boredom,noun,B1,cefr_j
boring,adjective,A1,cefr_j
bossy,adjective,B2,cefr_j
botany,noun,B2,cefr_j
both,adverb,A1,cefr_j
bothered,adjective,B2,cefr_j
bothersome,adjective,B2,cefr_j
bottom,noun,A1,cefr_j
bounce,noun,B2,cefr_j
bounce,verb,B1,cefr_j
bourbon,noun,B2,cefr_j
bowl,noun,A1,cefr_j
bowl,verb,B1,cefr_j
boxer,noun,B2,cefr_j
boxing,noun,B1,cefr_j
bracelet,noun,B1,cefr_j
brag,noun,B2,cefr_j
brainstorm,noun,A2,cefr_j
brainstorming,noun,B1,cefr_j
brand,noun,A2,cefr_j
brand-new,adjective,B1,cefr_j
brave,adjective,A2,cefr_j
bravely,adverb,B1,cefr_j
bravery,noun,B2,cefr_j
breakable,adjective,B2,cefr_j
breakdown,noun,B2,cefr_j
breakthrough,noun,B1,cefr_j
breakup,noun,B2,cefr_j
breathless,adjective,B1,cefr_j
breathtaking,adjective,B2,cefr_j
breeding,noun,B1,cefr_j
breezy,adjective,B2,cefr_j
brewery,noun,B2,cefr_j
briefly,adverb,B1,cefr_j
brightly,adverb,B1,cefr_j
brilliant,adjective,A2,cefr_j
brilliantly,adverb,B2,cefr_j
broadband,noun,B2,cefr_j
broadcaster,noun,B2,cefr_j
broaden,verb,B2,cefr_j
broadly,adverb,B2,cefr_j
broccoli,noun,B1,cefr_j
brotherhood,noun,B1,cefr_j
browser,noun,B2,cefr_j
bruise,noun,B2,cefr_j
bud,noun,B2,cefr_j
buddy,noun,B1,cefr_j
budget,adjective,B2,cefr_j
budget,noun,A2,cefr_j
bulimia,noun,B2,cefr_j
bulletin,noun,B1,cefr_j
bully,verb,B2,cefr_j
bum,noun,B2,cefr_j
bump,verb,B1,cefr_j
bumper,noun,B2,cefr_j
bun,noun,B2,cefr_j
bunch,noun,B1,cefr_j
burdensome,adjective,B2,cefr_j
bureaucracy,noun,B2,cefr_j
burger,noun,A1,cefr_j
burial,noun,B2,cefr_j
burning,adjective,B1,cefr_j
bus station,noun,A2,cefr_j
bus stop,noun,A2,cefr_j
bush,noun,A2,cefr_j
bustle,verb,B2,cefr_j
bustling,adjective,B2,cefr_j
butcher,noun,B1,cefr_j
butcher,verb,B2,cefr_j
buzz,noun,B2,cefr_j
buzz,verb,B2,cefr_j
bye,noun,A1,cefr_j
cab,noun,A2,cefr_j
cabbage,noun,B1,cefr_j
cabin,noun,B1,cefr_j
cabinet,noun,B2,cefr_j
cafe/café,noun,A1,cefr_j
cage,noun,B1,cefr_j
calculate,verb,B1,cefr_j
calculation,noun,B1,cefr_j
caller,noun,B1,cefr_j
calm,adjective,B1,cefr_j
calmly,adverb,B2,cefr_j
calmness,noun,B1,cefr_j
camp,noun,A1,cefr_j
camp,verb,A2,cefr_j
camping,noun,A2,cefr_j
campsite,noun,B1,cefr_j
campus,noun,A2,cefr_j
can,modal auxiliary,A1,cefr_j
cancel,verb,B1,cefr_j
candy,noun,A1,cefr_j
canned,adjective,B1,cefr_j
cannonball,noun,B2,cefr_j
canteen,noun,B1,cefr_j
cap,noun,A1,cefr_j
capability,noun,B2,cefr_j
capable,adjective,B1,cefr_j
capacity,noun,B1,cefr_j
capital letter,noun,A2,cefr_j
capsule,noun,B1,cefr_j
captain,noun,A2,cefr_j
caption,noun,B2,cefr_j
captive,noun,B2,cefr_j
car park,noun,A2,cefr_j
caravan,noun,B2,cefr_j
carbon dioxide,noun,B2,cefr_j
carbon footprint,noun,B2,cefr_j
cardboard,noun,B2,cefr_j
cardigan,noun,B2,cefr_j
career,noun,B1,cefr_j
carefree,adjective,B2,cefr_j
carefully,adverb,A1,cefr_j
careless,adjective,B1,cefr_j
carelessly,adverb,B1,cefr_j
carelessness,noun,B1,cefr_j
caring,adjective,B2,cefr_j
carnival,noun,B2,cefr_j
carpet,noun,B1,cefr_j
carpool,noun,B2,cefr_j
carrot,noun,A2,cefr_j
carton,noun,B1,cefr_j
cartoon,noun,A1,cefr_j
carve,verb,B2,cefr_j
cascade,noun,B2,cefr_j
cashpoint,noun,B1,cefr_j
cassette,noun,A2,cefr_j
casual,adjective,B1,cefr_j
casually,adverb,B2,cefr_j
catalog/catalogue,noun,B2,cefr_j
catalyst,noun,B2,cefr_j
catastrophe,noun,B2,cefr_j
catastrophic,adjective,B2,cefr_j
catchy,adjective,B2,cefr_j
categorization/categorisation,noun,B2,cefr_j
categorize/categorise,verb,B1,cefr_j
category,noun,B1,cefr_j
catering,noun,B2,cefr_j
cathedral,noun,B2,cefr_j
caution,noun,B1,cefr_j
cautious,adjective,B1,cefr_j
cave,noun,B1,cefr_j
CD player,noun,A1,cefr_j
cease,verb,B2,cefr_j
ceiling,noun,B2,cefr_j
celebrate,verb,A1,cefr_j
celebration,noun,A1,cefr_j
celebrity,noun,B1,cefr_j
cellar,noun,B2,cefr_j
cellist,noun,B2,cefr_j
cello,noun,B2,cefr_j
center/centre,noun,A2,cefr_j
centigrade,noun,B2,cefr_j
centimeter/centimetre,noun,A2,cefr_j
central heating,noun,B1,cefr_j
cereal,noun,A2,cefr_j
ceremony,noun,B1,cefr_j
certainly,adverb,A2,cefr_j
certainty,noun,B1,cefr_j
certificate,noun,B2,cefr_j
certification,noun,B2,cefr_j
certify,verb,B2,cefr_j
challenge,noun,A2,cefr_j
challenge,verb,B2,cefr_j
challenging,adjective,B1,cefr_j
champagne,noun,A2,cefr_j
championship,noun,A2,cefr_j
chancellor,noun,B2,cefr_j
channel,noun,B1,cefr_j
chaotic,adjective,B2,cefr_j
chapter,noun,A2,cefr_j
character,noun,A1,cefr_j
characterize/characterise,verb,B1,cefr_j
charge,noun,B1,cefr_j
charge,verb,B1,cefr_j
chariot,noun,B1,cefr_j
charity,noun,B1,cefr_j
charming,adjective,B2,cefr_j
chart,noun,A2,cefr_j
chase,noun,B1,cefr_j
chase,verb,B2,cefr_j
chat show,noun,B1,cefr_j
cheat,verb,B2,cefr_j
check-in counter/check-in,noun,B1,cefr_j
check-in desk/check-in,noun,B1,cefr_j
checkout,noun,B1,cefr_j
checkpoint,noun,B2,cefr_j
cheek,noun,A2,cefr_j
cheeky,adjective,B2,cefr_j
cheer,verb,A2,cefr_j
cheerful,adjective,B1,cefr_j
cheerfully,adverb,B2,cefr_j
cheerfulness,noun,B2,cefr_j
chef,noun,A2,cefr_j
chemist,noun,B1,cefr_j
chemotherapy,noun,B2,cefr_j
cherish,verb,B1,cefr_j
cherished,adjective,B2,cefr_j
chest of drawers,noun,B1,cefr_j
chew,verb,B2,cefr_j
chewing gum,noun,B1,cefr_j
chili/chilli,noun,A2,cefr_j
chimney,noun,B2,cefr_j
chimpanzee,noun,A2,cefr_j
chirp,noun,A2,cefr_j
choice,noun,A2,cefr_j
choke,verb,B1,cefr_j
chronological,adjective,B1,cefr_j
chuckle,noun,B1,cefr_j
chunk,noun,B2,cefr_j
cinema,noun,A1,cefr_j
circuitry,noun,B2,cefr_j
circular,adjective,B1,cefr_j
circumstance,noun,B2,cefr_j
circus,noun,B1,cefr_j
citizenship,noun,B1,cefr_j
citywide,adjective,B2,cefr_j
civilization/civilisation,noun,B1,cefr_j
claim,noun,B1,cefr_j
claim,verb,A2,cefr_j
clam,noun,B2,cefr_j
clarify,verb,B2,cefr_j
classical,adjective,B1,cefr_j
classical music,noun,A2,cefr_j
classification,noun,B2,cefr_j
classify,verb,B1,cefr_j
classmate,noun,A1,cefr_j
classroom,noun,A1,cefr_j
cleaner,noun,A2,cefr_j
clearly,adverb,A2,cefr_j
clearness,noun,B2,cefr_j
clerical,adjective,B2,cefr_j
clerk,noun,A2,cefr_j
clever,adjective,A1,cefr_j
click,noun,B1,cefr_j
click,verb,A2,cefr_j
client,noun,B2,cefr_j
cliff,noun,B1,cefr_j
climate,noun,B1,cefr_j
climate change,noun,B2,cefr_j
climb,noun,A1,cefr_j
climb,verb,A2,cefr_j
climbing,noun,A2,cefr_j
clinic,noun,B1,cefr_j
clip,noun,B1,cefr_j
clog,verb,B2,cefr_j
clone,verb,A2,cefr_j
closely,adverb,B1,cefr_j
closure,noun,B2,cefr_j
clothing,noun,B2,cefr_j
cloudy,adjective,A1,cefr_j
clown,noun,A2,cefr_j
clumsy,adjective,B2,cefr_j
coach,noun,A1,cefr_j
coach,verb,B2,cefr_j
coaching,noun,B2,cefr_j
coalition,noun,B2,cefr_j
coast,noun,A2,cefr_j
coast,verb,B1,cefr_j
coastal,adjective,B1,cefr_j
coastline,noun,B2,cefr_j
cocktail,noun,B2,cefr_j
coconut,noun,B2,cefr_j
coffin,noun,B1,cefr_j
coherence,noun,B2,cefr_j
coherent,adjective,B2,cefr_j
coincide,verb,B2,cefr_j
coincidence,noun,B2,cefr_j
colleague,noun,B2,cefr_j
collection,noun,A1,cefr_j
collector,noun,B2,cefr_j
collocation,noun,B2,cefr_j
colonial,adjective,B2,cefr_j
color/colour,noun,A1,cefr_j
color/colour,verb,A1,cefr_j
colorful/colourful,adjective,A2,cefr_j
column,noun,A2,cefr_j
columnist,noun,B1,cefr_j
coma,noun,B2,cefr_j
combination,noun,B1,cefr_j
combine,verb,B1,cefr_j
comedian,noun,B1,cefr_j
comedy,noun,B1,cefr_j
comfortably,adverb,B2,cefr_j
command,noun,B1,cefr_j
commander,noun,B2,cefr_j
commemorate,verb,B2,cefr_j
comment,noun,B1,cefr_j
comment,verb,B2,cefr_j
commerce,noun,B2,cefr_j
commercial,adjective,B1,cefr_j
commercial,noun,B2,cefr_j
commit,verb,B1,cefr_j
commitment,noun,A2,cefr_j
common sense,noun,B1,cefr_j
commonly,adverb,B1,cefr_j
communicate,verb,A2,cefr_j
communication,noun,A2,cefr_j
communicative,adjective,B2,cefr_j
commute,verb,B2,cefr_j
companion,noun,B1,cefr_j
compassion,noun,B2,cefr_j
compassionate,adjective,B2,cefr_j
compatible,adjective,B2,cefr_j
compensate,verb,B2,cefr_j
compensation,noun,B2,cefr_j
compete,verb,B1,cefr_j
competence,noun,B2,cefr_j
competent,adjective,B2,cefr_j
competitive,adjective,B1,cefr_j
competitor,noun,B1,cefr_j
compile,verb,B2,cefr_j
complain,verb,A2,cefr_j
complaint,noun,A2,cefr_j
complement,noun,B1,cefr_j
completely,adverb,B1,cefr_j
completion,noun,B2,cefr_j
complexion,noun,B2,cefr_j
complexity,noun,B2,cefr_j
complicate,verb,B1,cefr_j
complicated,adjective,B1,cefr_j
compliment,noun,B1,cefr_j
