entry_key,sense_position,definition
brown|adjective,4,Of or relating to any of various ethnic groups having dark pigmentation of the skin.
brown|adjective,5,Not green (environmentally irresponsible); anti-green (against environmental protection).
brown|verb,1,Synonym of poop (“to defecate”).
brown|verb,2,To cook something until it becomes brown.
brown|verb,3,To tan.
brown|verb,5,"To give a bright brown colour to, as to gun barrels, by forming a thin coating of oxide on their surface."
brown|verb,6,"To turn progressively more Hispanic or Latino, in the context of the population of a geographic region."
december|noun,1,A female given name transferred from the month name [in turn from English].
december|noun,2,A surname.
month|noun,0,"A period into which a year is divided, historically based on the phases of the moon."
month|noun,1,"A period of 30 days, 31 days, or some alternation thereof."
month|noun,2,A woman's period; menstrual discharge.
january|noun,1,A female given name transferred from the month name [in turn from English].
february|noun,1,A female given name transferred from the month name [in turn from English].
march|noun,0,"A formal, rhythmic way of walking, used especially by soldiers, by bands, and in ceremonies."
march|noun,1,A journey so walked.
march|noun,2,A political rally or parade.
march|noun,5,The feat of taking all the tricks of a hand.
march|noun,7,A region at a frontier governed by a marquess.
march|noun,8,Smallage.
march|verb,0,"To walk with long, regular strides, as a soldier does."
march|verb,2,To go to war; to make military advances.
march|verb,3,To make steady progress.
march|verb,4,To have common borders or frontiers
april|noun,1,A female given name transferred from the month name [in turn from English]; used since the early 20th century.
april|noun,2,A surname.
may|noun,0,The hawthorn bush or its blossoms.
may|noun,1,A maiden.
june|noun,1,"A female given name transferred from the month name [in turn from English], for a girl born in June, used since the end of the 19th century."
june|noun,2,"A male given name, or more often nickname, for a boy who is junior to someone else, especially someone with the same name, such as his father."
july|noun,1,A female given name from English.
july|noun,2,A surname from French.
august|adjective,0,"Awe-inspiring, majestic, noble, venerable."
august|adjective,1,Of noble birth.
august|noun,0,Alternative form of auguste (“kind of clown”).
september|noun,1,"Celi, the Roman goddess of September."
september|noun,2,A male or female given name transferred from the month name [in turn from English].
october|noun,1,A female given name transferred from the month name.
october|noun,2,A type of ale traditionally brewed in October.
november|noun,1,A female given name.
multiculturalism|noun,0,"The characteristics of an organization, society, city etc. which has many different ethnic or national cultures mingling freely; political or social policies which support or encourage such coexistenc"
multiculturalism|noun,1,The cultural Marxism conspiracy theory.
day|noun,0,The time when the Sun is above the horizon and it lights the sky.
day|noun,2,A 24-hour period beginning at 6am or sunrise.
day|noun,4,The rotational period of a planet.
day|noun,5,"The part of a day period which one spends at one’s job, school, etc."
day|noun,7,A day set aside for a specified activity.
day|noun,8,"A specified time or period; time, considered with reference to the existence or prominence of a person or thing; age; time; era."
day|noun,9,A period of contention of a day or less.
wednesday|noun,1,Nickname for Sheffield Wednesday of the Football League.
friday|noun,1,The last workday in a work schedule that is not Monday through Friday.
sunday|noun,1,A newspaper published on Sunday.
sunday|noun,2,A comic strip published in a Sunday newspaper.
sunday|noun,3,"Describes someone who does something occasionally or casually, and therefore without skill."
sunday|noun,4,"Describes something particularly fine and elegant, particularly something that could be worn to or used at church."
lexicography|noun,1,"The scholarly discipline of analysing and describing the semantic, syntagmatic and paradigmatic relationships within the lexicon (vocabulary) of a language and developing theories of dictionary compon"
lexicography|noun,2,"A dictionary, a lexicon, a wordbook."
connotation|noun,1,"The attribute or aggregate of attributes connoted by a term, contrasted with denotation."
denotation|noun,0,"The act of denoting, or something (such as a symbol) that denotes"
denotation|noun,1,"The primary, surface, literal, or explicit meaning of a signifier such as a word, phrase, or symbol; that which a word denotes, as contrasted with its connotation; the aggregate or set of objects of w"
denotation|noun,2,The intension and extension of a word
