entry_key,sense_position,definition,lemma
etymology|noun,0,"The scientific study of the origin and evolution of a word's semantic meaning across time, including its constituent morphemes and phonemes.",etymology
etymology|noun,1,"The entire catalogue of meanings that a word, morpheme, or sign has carried throughout its history.",etymology
etymology|noun,3,"The direct origin of a name, as in who someone was named after.",etymology
swap|verb,1,"To hit, to strike.",swap
swap|verb,2,"To beat the air, or ply the wings, with a sweeping motion or noise; to flap.",swap
swap|verb,3,To descend or fall; to rush hastily or violently.,swap
swap|noun,2,Space available in a swap file for use as auxiliary memory.,swap
swap|noun,3,"A social meal at a restaurant between two university societies, usually involving drinking and banter; commonly associated with fining and pennying; equivalent to a crewdate at Oxford University.",swap
swap|noun,4,A blow; a stroke.,swap
swop|noun,0,Alternative spelling of swap.,swop
swop|noun,1,A fusion of swing and hip-hop dance styles.,swop
swop|verb,0,Alternative spelling of swap.,swop
polysemic|adjective,0,Having a number of senses (meanings) or understandings.,polysemic
trade|noun,2,An idea or strategy for an investment on a market.,trade
trade|noun,3,An instance of bartering items in exchange for one another.,trade
trade|noun,4,Those who perform a particular kind of skilled work.,trade
trade|noun,5,Those engaged in an industry or group of related industries.,trade
trade|noun,7,"An occupation in the secondary sector, as opposed to an agricultural, professional or military one.",trade
trade|noun,8,The business given to a commercial establishment by its customers.,trade
trade|noun,9,Steady winds blowing from east to west above and below the equator.,trade
trade|noun,10,A publication intended for participants in an industry or related group of industries.,trade
trade|noun,11,"A masculine man available for casual sex with men, often for pay. (Compare rough trade.)",trade
trade|noun,12,Instruments of any occupation.,trade
trade|noun,13,Short for trade paperback,trade
trade|noun,14,Refuse or rubbish from a mine.,trade
trade|noun,15,A track or trail; a way; a path; passage.,trade
trade|noun,16,A course; a custom; a practice; an occupation.,trade
trade|verb,0,To engage in trade.,trade
trade|verb,1,To be traded at a certain price or under certain conditions.,trade
trade|verb,2,To give (something) in exchange (for).,trade
trade|verb,3,To mutually exchange (something) (with).,trade
trade|verb,4,"To use or exploit a particular aspect, such as a name, reputation, or image, to gain advantage or benefit.",trade
trade|verb,5,To give someone a plant and receive a different one in return.,trade
trade|verb,6,To do business; offer for sale as for one's livelihood.,trade
trade|verb,7,To have dealings; to be concerned or associated (with).,trade
trade|verb,8,To recommend and get recommendations.,trade
trade|adjective,0,"Of a product, produced for sale in the ordinary bulk retail trade and hence of only the most basic quality.",trade
quid pro quo|noun,0,Something which is understood as something else; an equivocation.,quid pro quo
quid pro quo|noun,1,Substitution of one drug for another.,quid pro quo
quid pro quo|noun,3,"A usually non-monetary exchange transaction, or series or process of exchange transactions.",quid pro quo
quid pro quo|noun,4,Sexual harassment in which a person in a workplace implicitly or explicitly requires sexual favours in exchange for something.,quid pro quo
verb|noun,1,Any word; a vocable.,verb
verb|noun,2,An action as opposed to a trait or thing.,verb
verb|noun,3,A named command that performs a specific operation on an object.,verb
verb|noun,4,Reverb.,verb
verb|verb,0,To use any word that is or was not a verb (especially a noun) as if it were a verb.,verb
verb|verb,1,Used as a placeholder for any verb.,verb
adjective|noun,1,A dependent; an accessory.,adjective
adjective|adjective,0,Adjectival; pertaining to or functioning as an adjective.,adjective
adjective|adjective,2,Needing the use of a mordant to be made fast to that which is being dyed.,adjective
adjective|adjective,3,Incapable of independent function.,adjective
adjective|verb,1,To characterize with an adjective; to describe by using an adjective.,adjective
craft|noun,0,Strength; power; might; force .,craft
craft|noun,1,Intellectual power; skill; art.,craft
craft|noun,2,Intellectual power; skill; art.,craft
craft|noun,3,A work or product of art .,craft
craft|noun,4,A work or product of art .,craft
craft|noun,5,"A device, a means; a magical device, spell or enchantment .",craft
craft|noun,6,"Learning of the schools, scholarship; a branch of learning or knowledge, a science, especially one of the ‘seven liberal arts’ of the medieval universities .",craft
craft|noun,7,"Skill, skilfulness, art, especially the skill needed for a particular profession .",craft
craft|noun,9,"A trade or profession as embodied in its practitioners collectively; the members of a trade or handicraft as a body; an association of these; a trade's union, guild, or ‘company’ .",craft
craft|noun,10,A vehicle designed for navigation in or on water or air or through outer space .,craft
craft|noun,11,A vehicle designed for navigation in or on water or air or through outer space .,craft
craft|noun,12,A vehicle designed for navigation in or on water or air or through outer space .,craft
craft|noun,13,A vehicle designed for navigation in or on water or air or through outer space .,craft
